sessionSource,sessionMedium,sessions,activeUsers,engagedSessions,engagementRate,averageSessionDuration
(direct),(none),25206,23669,3759,0.1491311592477981,54.04364252685868
google,organic,14112,10363,8069,0.5717828798185941,164.34347276806974
bing,organic,426,243,271,0.636150234741784,366.190313685446
chatgpt.com,referral,377,262,178,0.4721485411140583,132.23920664986736
m.facebook.com,referral,211,207,73,0.3459715639810426,29.979165336492887
facebook.com,referral,155,153,102,0.6580645161290322,23.317438593548385
l.instagram.com,referral,125,119,35,0.28,46.606470776
google,cpc,118,32,10,0.0847457627118644,15.69002963559322
ig,social,101,93,39,0.3861386138613861,64.57607664356435
perplexity.ai,referral,95,55,46,0.4842105263157894,208.34271922105265
linkedin.com,referral,76,60,35,0.4605263157894736,148.16709075
l.wl.co,referral,58,41,24,0.4137931034482758,135.37805505172415
lm.facebook.com,referral,57,54,35,0.6140350877192982,56.30780757894737
chatgpt.com,ai-assistant,45,21,26,0.5777777777777777,264.3027910222222
companies.intra.42.fr,referral,44,38,28,0.6363636363636364,65.35104786363637
dekkak.com,referral,44,24,29,0.659090909090909,252.4268845681818
l.facebook.com,referral,40,35,22,0.55,216.15951722500003
gemini.google.com,referral,38,29,14,0.3684210526315789,79.49267913157894
claude.ai,referral,30,16,10,0.3333333333333333,181.0035443
business39.web-hosting.com:2083,referral,27,1,15,0.5555555555555555,323.8530824074074
duckduckgo,organic,27,23,17,0.6296296296296297,161.73760681481482
qwant.com,organic,23,3,14,0.608695652173913,486.6596286086957
vercel.com,referral,22,6,13,0.5909090909090909,470.0102750454545
yahoo,organic,18,12,10,0.5555555555555555,292.72117233333336
search.google.com,referral,16,5,11,0.6875,388.1237911875
canva.com,referral,13,3,5,0.3846153846153846,109.93676246153846
ecosia.org,organic,12,10,5,0.4166666666666666,76.16539083333333
github.com,referral,12,1,8,0.6666666666666666,223.19954216666665
(data not available),(data not available),9,9,3,0.3333333333333333,112.221571
lnkd.in,referral,9,9,4,0.4444444444444444,59.89545144444445
www-orchidisland-immo.translate.goog,referral,9,9,3,0.3333333333333333,61.59519833333333
fr.search.yahoo.com,referral,8,8,8,1.0,412.859883625
gemini.google.com,ai-assistant,8,5,6,0.75,103.33848025
orchidisland-immo.translate.goog,referral,8,8,4,0.5,37.393622
pagespeed.web.dev,referral,8,1,5,0.625,81.744733375
114.114.114.114:9421,referral,7,3,5,0.7142857142857143,78.00507571428571
airbnb.fr,referral,7,1,3,0.4285714285714285,15.889807142857142
jamiiforums.com,referral,7,1,5,0.7142857142857143,49.60665314285714
app.neilpatel.com,referral,6,2,6,1.0,648.0723998333334
dekkakwebsite.vercel.app,referral,6,3,0,0.0,0.8366611666666666
t.co,referral,6,3,4,0.6666666666666666,79.61814466666665
sandsofwealth.com,referral,5,3,2,0.4,434.7474744
search.brave.com,referral,5,5,4,0.8,158.2239284
127.0.0.1:8021,referral,4,1,4,1.0,166.2194595
Pinterest,organic,4,3,1,0.25,15.70285825
