sessionSource,sessionMedium,sessions,activeUsers,engagedSessions,engagementRate,averageSessionDuration
(direct),(none),25206,23669,3759,0.14913115924779816,54.043642526858683
google,organic,14112,10363,8069,0.5717828798185941,164.34347276806974
(not set),(not set),10559,10437,492,0.046595321526659725,14.309425278719576
chatgpt.com,(not set),573,491,179,0.31239092495637,123.24834662478185
bing,organic,426,243,271,0.636150234741784,366.19031368544603
chatgpt.com,referral,377,262,178,0.47214854111405835,132.23920664986736
m.facebook.com,referral,211,207,73,0.34597156398104267,29.979165336492891
facebook.com,referral,155,153,102,0.65806451612903227,23.317438593548385
l.instagram.com,referral,125,119,35,0.28,46.606470776
google,cpc,118,32,10,0.0847457627118644,15.69002963559322
ig,social,101,93,39,0.38613861386138615,64.576076643564349
perplexity.ai,referral,95,55,46,0.48421052631578948,208.34271922105265
linkedin.com,referral,76,60,35,0.46052631578947367,148.16709075
l.wl.co,referral,58,41,24,0.41379310344827586,135.37805505172415
lm.facebook.com,referral,57,54,35,0.61403508771929827,56.307807578947369
chatgpt.com,ai-assistant,45,21,26,0.57777777777777772,264.30279102222221
companies.intra.42.fr,referral,44,38,28,0.63636363636363635,65.351047863636367
dekkak.com,referral,44,24,29,0.65909090909090906,252.4268845681818
l.facebook.com,referral,40,35,22,0.55,216.15951722500003
gemini.google.com,referral,38,29,14,0.36842105263157893,79.492679131578939
claude.ai,referral,30,16,10,0.33333333333333331,181.00354430000002
business39.web-hosting.com:2083,referral,27,1,15,0.55555555555555558,323.85308240740738
duckduckgo,organic,27,23,17,0.62962962962962965,161.73760681481482
qwant.com,organic,23,3,14,0.60869565217391308,486.6596286086957
vercel.com,referral,22,6,13,0.59090909090909094,470.01027504545453
perplexity,(not set),21,21,8,0.38095238095238093,172.1373878095238
yahoo,organic,18,12,10,0.55555555555555558,292.72117233333336
search.google.com,referral,16,5,11,0.6875,388.1237911875
canva.com,referral,13,3,5,0.38461538461538464,109.93676246153846
ecosia.org,organic,12,10,5,0.41666666666666669,76.165390833333333
github.com,referral,12,1,8,0.66666666666666663,223.19954216666665
(data not available),(data not available),9,9,3,0.33333333333333331,112.221571
lnkd.in,referral,9,9,4,0.44444444444444442,59.895451444444447
www-orchidisland-immo.translate.goog,referral,9,9,3,0.33333333333333331,61.595198333333329
fr.search.yahoo.com,referral,8,8,8,1,412.859883625
gemini.google.com,ai-assistant,8,5,6,0.75,103.33848025
orchidisland-immo.translate.goog,referral,8,8,4,0.5,37.393622
pagespeed.web.dev,referral,8,1,5,0.625,81.744733375
114.114.114.114:9421,referral,7,3,5,0.7142857142857143,78.005075714285709
airbnb.fr,referral,7,1,3,0.42857142857142855,15.889807142857142
jamiiforums.com,referral,7,1,5,0.7142857142857143,49.606653142857148
app.neilpatel.com,referral,6,2,6,1,648.07239983333341
dekkakwebsite.vercel.app,referral,6,3,0,0,0.83666116666666668
t.co,referral,6,3,4,0.66666666666666663,79.618144666666666
sandsofwealth.com,referral,5,3,2,0.4,434.7474744
search.brave.com,referral,5,5,4,0.8,158.2239284
127.0.0.1:8021,referral,4,1,4,1,166.2194595
Pinterest,organic,4,3,1,0.25,15.70285825
chatgpt.com,organic,4,4,4,1,195.17396475
localhost:8080,referral,4,1,4,1,2177.13919225
rss,rss,4,3,0,0,0
yahoo.com,referral,4,4,0,0,2.992314
afrika.vc,referral,3,2,1,0.33333333333333331,59.36131533333333
app.joinhandshake.co.uk,referral,3,1,2,0.66666666666666663,162.55225466666667
eco2greetings.com,referral,3,1,0,0,0.723898
myqrcode.mobi,referral,3,2,1,0.33333333333333331,151.03538966666667
nextgeeker.com,referral,3,2,2,0.66666666666666663,97.244362666666674
statics.teams.cdn.office.net,referral,3,3,3,1,321.96541366666668
usc-word-edit.officeapps.live.com,referral,3,3,2,0.66666666666666663,306.16113166666668
wave.webaim.org,referral,3,1,0,0,0
accounts.google.com,referral,2,1,0,0,0
away.vk.com,referral,2,2,0,0,0
brokenlinkcheck.com,referral,2,0,0,0,0
chat.deepseek.com,referral,2,1,2,1,216.0122265
chat.qwen.ai,referral,2,2,2,1,242.041011
claude.ai,ai-assistant,2,1,1,0.5,2.504099
copilot.com,referral,2,1,1,0.5,304.613122
docs.google.com,referral,2,2,2,1,402.7980605
epflcareer.ch,referral,2,1,1,0.5,53.6538295
goafricaonline.com,referral,2,1,1,0.5,10.686269
grok.com,referral,2,1,0,0,0
ig_web_button_share_sheet,(not set),2,2,0,0,0
internwise.eu,referral,2,1,0,0,0
kimi.com,referral,2,1,0,0,0
licorne.ae,referral,2,1,0,0,0
mubawab.ma,referral,2,1,1,0.5,10.731872
notebooklm.google.com,referral,2,2,2,1,34.2074375
ntp.msn.com,referral,2,1,0,0,4.5524385
privacywall.org,referral,2,1,1,0.5,318.348973
ts2.tech,(not set),2,2,0,0,0
uk.search.yahoo.com,referral,2,2,2,1,903.916308
258.com,referral,1,1,1,1,58.825854
admin.goabroad.com,referral,1,1,1,1,323.07101
aimode.alibaba.com,referral,1,1,0,0,5.685335
aol,organic,1,1,1,1,129.23494
app.quickcreator.io,referral,1,1,1,1,24.867946
apps.bulletinintelligence.com,referral,1,1,0,0,0
at.search.yahoo.com,referral,1,1,0,0,5.534184
ca.search.yahoo.com,referral,1,1,1,1,49.788806
capcut.com,referral,1,1,1,1,25.70184
ch.search.yahoo.com,referral,1,1,1,1,34.867058
chatgpt.com,(none),1,1,1,1,161.338056
cn.bing.com,referral,1,1,1,1,123.501083
copilot.cloud.microsoft,referral,1,1,1,1,163.056635
copilot.com,(not set),1,1,1,1,123.356367
cvtblog.online,referral,1,1,0,0,0
de.search.yahoo.com,referral,1,1,0,0,0
destinaroad.com,referral,1,1,0,0,0
eavuinsr.online,referral,1,1,0,0,0
encmbtia.online,referral,1,1,0,0,0
euc-word-edit.officeapps.live.com,referral,1,1,1,1,239.808466
fiuagts.online,referral,1,1,0,0,0
fofa.info,referral,1,1,1,1,77.583588
in.search.yahoo.com,referral,1,1,0,0,6.925151
incrementors.com,referral,1,1,0,0,0
leads.orbeen.com,referral,1,1,1,1,29.533146
modnl.jooble.org,referral,1,1,0,0,8.356892
nerdydata.com,referral,1,1,1,1,33.796637
omnimedicalsearch.com,referral,1,1,1,1,22.109485
openmultipleurl.com,referral,1,1,1,1,15.711304
phimarshcer.online,referral,1,1,0,0,0
poe.com,referral,1,1,1,1,663.75333
rsssearchhub.com,referral,1,1,0,0,4.994024
searchgby.com,referral,1,1,1,1,435.507586
sg.search.yahoo.com,referral,1,1,1,1,378.257844
