sessionSource,sessionMedium,AI_Engagement_Score,sessions,activeUsers,engagedSessions,engagementRate,averageSessionDuration
(direct),(none),100.0,25206,23669,3759,0.1491311592477981,54.04364252685868
google,organic,78.75,14112,10363,8069,0.5717828798185941,164.34347276806974
chatgpt.com,referral,3.51,377,262,178,0.4721485411140583,132.23920664986736
bing,organic,3.47,426,243,271,0.636150234741784,366.190313685446
m.facebook.com,referral,2.95,211,207,73,0.3459715639810426,29.979165336492887
l.instagram.com,referral,2.55,125,119,35,0.28,46.606470776
facebook.com,referral,2.54,155,153,102,0.6580645161290322,23.317438593548385
google,cpc,2.54,118,32,10,0.0847457627118644,15.69002963559322
rss,rss,2.39,4,3,0,0.0,0.0
yahoo.com,referral,2.39,4,4,0,0.0,2.992314
dekkakwebsite.vercel.app,referral,2.39,6,3,0,0.0,0.8366611666666666
wave.webaim.org,referral,2.38,3,1,0,0.0,0.0
eco2greetings.com,referral,2.38,3,1,0,0.0,0.723898
fiuagts.online,referral,2.38,1,1,0,0.0,0.0
phimarshcer.online,referral,2.38,1,1,0,0.0,0.0
apps.bulletinintelligence.com,referral,2.38,1,1,0,0.0,0.0
ntp.msn.com,referral,2.38,2,1,0,0.0,4.5524385
grok.com,referral,2.38,2,1,0,0.0,0.0
licorne.ae,referral,2.38,2,1,0,0.0,0.0
kimi.com,referral,2.38,2,1,0,0.0,0.0
internwise.eu,referral,2.38,2,1,0,0.0,0.0
brokenlinkcheck.com,referral,2.38,2,0,0,0.0,0.0
away.vk.com,referral,2.38,2,2,0,0.0,0.0
accounts.google.com,referral,2.38,2,1,0,0.0,0.0
cvtblog.online,referral,2.38,1,1,0,0.0,0.0
de.search.yahoo.com,referral,2.38,1,1,0,0.0,0.0
destinaroad.com,referral,2.38,1,1,0,0.0,0.0
eavuinsr.online,referral,2.38,1,1,0,0.0,0.0
encmbtia.online,referral,2.38,1,1,0,0.0,0.0
sgdp.ratraiser.online,referral,2.38,1,1,0,0.0,0.0
sider.ai,referral,2.38,1,1,0,0.0,0.0
incrementors.com,referral,2.38,1,1,0,0.0,0.0
traderscity.com,referral,2.38,1,1,0,0.0,2.259489
shsupplychain.com,referral,2.38,1,1,0,0.0,0.0
rsssearchhub.com,referral,2.37,1,1,0,0.0,4.994024
in.search.yahoo.com,referral,2.37,1,1,0,0.0,6.925151
modnl.jooble.org,referral,2.37,1,1,0,0.0,8.356892
aimode.alibaba.com,referral,2.37,1,1,0,0.0,5.685335
at.search.yahoo.com,referral,2.37,1,1,0,0.0,5.534184
terra.com,referral,2.37,1,1,0,0.0,8.104108
ig,social,2.33,101,93,39,0.3861386138613861,64.57607664356435
Pinterest,organic,2.08,4,3,1,0.25,15.70285825
linkedin.com,referral,2.02,76,60,35,0.4605263157894736,148.16709075
gemini.google.com,referral,2.01,38,29,14,0.3684210526315789,79.49267913157894
l.wl.co,referral,1.98,58,41,24,0.4137931034482758,135.37805505172415
perplexity.ai,referral,1.98,95,55,46,0.4842105263157894,208.34271922105265
www-orchidisland-immo.translate.goog,referral,1.94,9,9,3,0.3333333333333333,61.59519833333333
afrika.vc,referral,1.92,3,2,1,0.3333333333333333,59.36131533333333
lm.facebook.com,referral,1.92,57,54,35,0.6140350877192982,56.30780757894737
(data not available),(data not available),1.88,9,9,3,0.3333333333333333,112.221571
airbnb.fr,referral,1.87,7,1,3,0.4285714285714285,15.889807142857142
claude.ai,referral,1.86,30,16,10,0.3333333333333333,181.0035443
ecosia.org,organic,1.84,12,10,5,0.4166666666666666,76.16539083333333
lnkd.in,referral,1.82,9,9,4,0.4444444444444444,59.89545144444445
canva.com,referral,1.82,13,3,5,0.3846153846153846,109.93676246153846
companies.intra.42.fr,referral,1.8,44,38,28,0.6363636363636364,65.35104786363637
myqrcode.mobi,referral,1.79,3,2,1,0.3333333333333333,151.03538966666667
claude.ai,ai-assistant,1.79,2,1,1,0.5,2.504099
mubawab.ma,referral,1.78,2,1,1,0.5,10.731872
orchidisland-immo.translate.goog,referral,1.78,8,8,4,0.5,37.393622
goafricaonline.com,referral,1.78,2,1,1,0.5,10.686269
epflcareer.ch,referral,1.72,2,1,1,0.5,53.6538295
l.facebook.com,referral,1.66,40,35,22,0.55,216.15951722500003
duckduckgo,organic,1.58,27,23,17,0.6296296296296297,161.73760681481482
chatgpt.com,ai-assistant,1.57,45,21,26,0.5777777777777777,264.3027910222222
pagespeed.web.dev,referral,1.56,8,1,5,0.625,81.744733375
t.co,referral,1.51,6,3,4,0.6666666666666666,79.61814466666665
dekkak.com,referral,1.5,44,24,29,0.659090909090909,252.4268845681818
jamiiforums.com,referral,1.5,7,1,5,0.7142857142857143,49.60665314285714
nextgeeker.com,referral,1.47,3,2,2,0.6666666666666666,97.24436266666667
114.114.114.114:9421,referral,1.47,7,3,5,0.7142857142857143,78.00507571428571
yahoo,organic,1.42,18,12,10,0.5555555555555555,292.72117233333336
